MatchAthleteID,RankDifference,HeadToHeadDifference,DifferenceDurationToDateVsOpponent,DifferenceDurationInLastYear,DifferenceDurationOnCourtThisTournament,DifferenceMatchesInLastYear,DifferenceTournamentsInLastYear,MatchResult
4012_P1,241,0,-6906,-1049,47,-21,-9,Lost
4021_P1,56,0,-313,-180,20,-6,-3,Lost
4022_P1,207,0,-6859,-1063,31,-19,-10,Lost
4023_P1,-110,0,-99,-132,-38,-2,-1,Lost
4028_P1,17,0,766,-445,,-11,-2,Lost
4035_P1,74,0,-6843,-1630,,-27,-6,Lost
4079_P1,148,0,-5732,-731,8,-20,-12,Lost
4084_P1,235,0,-1139,-609,74,-15,-6,Lost
4102_P1,-58,0,69,-146,,-4,-1,Lost
4111_P1,816,0,-1973,-1279,68,-27,-8,Lost
4114_P1,29,0,-60,-60,-60,,,Lost
4120_P1,244,0,-715,,,,,Lost
4142_P1,164,0,-5068,-818,,-19,-5,Lost
4149_P1,70,0,-1004,-775,-23,-16,-6,Lost
4193_P1,-185,0,-35,7,,2,2,Lost
4197_P1,205,0,-18,-34,,-1,-1,Lost
4205_P1,414,0,-9016,-1795,,-41,-17,Lost
4210_P1,256,0,,,,,,Lost
4232_P1,59,0,4594,-370,4,-7,0,Lost
4242_P1,66,0,-3529,-853,1,-22,-6,Lost
4253_P1,424,0,-3677,-915,56,-23,-8,Lost
4256_P1,4,0,-102,-102,,-2,0,Lost
4290_P1,-10,0,-131,-27,,-1,-1,Lost
4342_P1,481,0,-4213,-1311,,-26,-12,Lost
4353_P1,322,0,-2537,-522,,-13,-6,Lost
4357_P1,596,0,141,41,,2,2,Lost
4361_P1,-708,0,160,96,,4,3,Lost
4375_P1,50,0,1041,-541,86,-10,1,Lost
4417_P1,965,0,-556,-162,,-6,-2,Lost
4470_P1,139,0,-1250,-900,,-19,-7,Lost
4519_P1,78,0,-662,-550,27,-10,-4,Lost
4532_P1,-391,0,-422,16,28,-1,0,Lost
4587_P1,325,0,-6026,-973,-23,-24,-15,Lost
4604_P1,630,0,-7582,-1718,27,-38,-18,Lost
4607_P1,42,0,-858,-807,,-19,-10,Lost
4713_P1,-124,0,184,184,,5,2,Lost
4746_P1,1125,0,-102,-29,22,-1,-1,Lost
4762_P1,384,0,-934,-822,,-16,-6,Lost
4774_P1,960,0,-7421,-1609,27,-35,-17,Lost
4776_P1,71,0,-5652,-1046,,-24,-13,Lost
4778_P1,174,0,-254,-228,,-6,-3,Lost
4779_P1,853,0,-339,-101,44,-4,-2,Lost
4813_P1,1350,0,-597,-696,,-13,-4,Lost
4828_P1,61,0,-6201,-524,73,-11,-7,Lost
4833_P1,-21,0,-1070,-93,-147,4,-2,Lost
4834_P1,-64,0,6949,566,-115,15,9,Lost
4861_P1,100,0,-8291,120,,4,1,Lost
4887_P1,28,0,-2088,-259,13,-7,3,Lost
4909_P1,-45,0,3291,279,,5,2,Lost
4917_P1,64,0,-8407,-4,,0,1,Lost
4927_P1,48,0,-7730,-1024,,-23,-8,Lost
4946_P1,90,0,-546,-293,,-8,-4,Lost
4982_P1,103,0,-1491,-636,-9,-16,-5,Lost
4997_P1,73,0,-7099,-1794,,-39,-17,Lost
4998_P1,287,0,2,-43,,-1,-1,Lost
5013_P1,606,0,-179,-45,,-1,0,Lost
5015_P1,480,0,-636,-319,,-7,-4,Lost
5042_P1,33,0,-3502,-427,98,-7,1,Lost
5045_P1,-6,0,2183,682,,12,7,Lost
5086_P1,142,0,-1749,-1152,104,-26,-5,Lost
5094_P1,12,0,-3263,-709,,-18,-3,Lost
5100_P1,59,0,-188,-65,,-1,-1,Lost
5103_P1,-124,0,3117,822,,19,7,Lost
5120_P1,590,0,-1452,-726,40,-18,-10,Lost
5123_P1,1565,0,-5646,-1310,16,-25,-14,Lost
5124_P1,83,0,-3137,-596,,-17,-7,Lost
5130_P1,256,0,-4171,-411,7,-9,-2,Lost
5136_P1,217,0,-5592,-1093,0,-23,-8,Lost
5144_P1,269,0,-3389,-981,,-23,-10,Lost
5146_P1,136,0,-5005,-1142,,-25,-12,Lost
5158_P1,924,0,-66,-27,3,-1,-1,Lost
5161_P1,209,0,-90,-30,,-1,-1,Lost
5165_P1,1128,0,7,7,34,1,0,Lost
5175_P1,1091,0,,,,,,Lost
5181_P1,184,0,-3381,-1180,47,-24,-9,Lost
5202_P1,-617,0,-2415,74,,3,2,Lost
5203_P1,317,0,-5751,-1482,,-32,-11,Lost
5222_P1,35,0,-3804,-820,54,-13,-1,Lost
5224_P1,29,0,-5171,-497,,-13,4,Lost
5226_P1,15,0,-729,-299,,-7,0,Lost
5324_P1,246,0,-1744,-1092,,-24,-7,Lost
5332_P1,187,0,-1088,-560,,-11,-4,Lost
5352_P1,40,0,-355,-79,-14,-1,-2,Lost
5359_P1,51,0,-327,-394,2,-3,-1,Lost
5369_P1,354,0,-2937,-578,,-14,-6,Lost
5373_P1,261,0,-5226,-1052,,-20,-12,Lost
5383_P1,722,0,-2146,-814,,-19,-6,Lost
5389_P1,-11,0,168,114,,5,2,Lost
5439_P1,9,0,-5670,-1061,,-20,-4,Lost
5459_P1,16,0,268,-249,-38,-4,-3,Lost
5469_P1,-21,0,253,60,6,-1,0,Lost
5471_P1,56,0,-3030,-436,-8,-10,-6,Lost
5472_P1,110,0,-6132,-1244,,-27,-9,Lost
5493_P1,61,0,-5310,-1079,,-21,-10,Lost
5494_P1,8,0,-2271,-689,,-14,-6,Lost
5496_P1,271,0,-2095,-248,,-6,-3,Lost
5500_P1,8,0,1186,186,,6,3,Lost
5538_P1,256,0,-3197,-769,-24,-15,-6,Lost
5548_P1,155,0,-197,-59,,-2,-1,Lost
5553_P1,473,0,-4585,-854,,-16,-7,Lost
5562_P1,375,0,-3254,-1038,,-27,-10,Lost
5598_P1,-12,0,728,286,,5,1,Lost
5619_P1,514,0,-1887,-555,77,-11,-3,Lost
5626_P1,152,0,-2770,-496,,-10,-3,Lost
5642_P1,54,0,45,122,,5,4,Lost
5687_P1,104,0,-4898,-782,-5,-14,-7,Lost
5699_P1,-122,0,-75,-75,-14,-1,0,Lost
5705_P1,190,0,-3405,-626,,-12,-7,Lost
5713_P1,-89,0,-136,77,,3,3,Lost
5724_P1,147,0,-6,-6,,0,0,Lost
5728_P1,247,0,-2707,-479,,-9,-5,Lost
5730_P1,327,0,-2505,-422,25,-9,-3,Lost
5766_P1,32,0,758,-161,,-4,0,Lost
5809_P1,-818,0,1318,341,,8,4,Lost
5811_P1,108,0,-1049,-770,,-17,-6,Lost
5853_P1,589,0,-966,-380,,-9,-7,Lost
5917_P1,102,0,-2461,-77,-30,0,-1,Lost
5928_P1,133,0,-800,-72,-4,-2,-1,Lost
5931_P1,669,0,-1063,-337,,-9,-5,Lost
5950_P1,154,0,-1834,-557,,-13,-5,Lost
5952_P1,-1,0,-71,-45,,1,1,Lost
5954_P1,773,0,-5004,-463,,-11,-6,Lost
5993_P1,-69,0,100,153,,5,2,Lost
6009_P1,40,0,2091,-166,,-6,-2,Lost
6010_P1,54,0,-3732,-1918,,-38,-10,Lost
6026_P1,904,0,-54,-54,,-1,-1,Lost
6028_P1,539,0,-277,-193,,-4,-2,Lost
6036_P1,-96,0,-10,-42,,0,0,Lost
6056_P1,126,0,-4411,-1414,37,-34,-15,Lost
6060_P1,67,0,-6277,-1121,25,-21,-8,Lost
6064_P1,26,0,-377,-234,18,-5,-1,Lost
6074_P1,183,0,-5528,-1011,-6,-19,-11,Lost
6075_P1,159,0,-1151,-403,19,-12,-8,Lost
6085_P1,51,0,-5244,-1046,,-20,-11,Lost
6092_P1,141,0,-213,-148,,-4,-2,Lost
6093_P1,-53,0,-3567,-151,,-4,2,Lost
6095_P1,-47,0,,,,,,Lost
6097_P1,299,0,-308,-282,,-6,-2,Lost
6109_P1,66,0,156,-211,,-4,-2,Lost
6127_P1,35,0,-3529,-488,,-10,3,Lost
6150_P1,-50,0,-476,,,,,Lost
6186_P1,-32,0,-488,577,,12,2,Lost
6250_P1,-164,0,38,38,,2,1,Lost
6264_P1,320,0,-479,-479,,-10,-4,Lost
6283_P1,15,0,-494,375,,13,5,Lost
6290_P1,44,0,1133,-524,67,-10,0,Lost
6296_P1,80,0,-2687,-355,,-7,-4,Lost
6331_P1,-63,0,1996,506,-26,11,8,Lost
6337_P1,66,0,-927,-913,-13,-18,-7,Lost
6352_P1,1210,0,-945,-142,22,-5,-1,Lost
6364_P1,60,0,-1798,-846,,-20,-6,Lost
6365_P1,255,0,-2499,-815,,-15,-8,Lost
6368_P1,272,0,-424,-326,30,-7,-2,Lost
6375_P1,657,0,-140,,,,,Lost
6386_P1,34,0,978,-933,-43,-19,-2,Lost
6402_P1,503,0,-6103,-1803,29,-35,-8,Lost
6406_P1,335,0,16,-156,-19,-4,-2,Lost
6409_P1,830,0,-2730,-1933,,-37,-15,Lost
6411_P1,1335,0,-4017,-1225,,-30,-12,Lost
6412_P1,989,0,-1215,-539,,-15,-9,Lost
6413_P1,1523,0,-220,-160,,-4,-2,Lost
6414_P1,817,0,-3017,-914,,-24,-12,Lost
6429_P1,781,0,-143,-78,,-2,-1,Lost
6450_P1,24,0,-2461,-887,81,-21,-8,Lost
6500_P1,72,0,-2744,-778,33,-21,-12,Lost
6510_P1,79,0,-1360,-267,50,-8,-3,Lost
6511_P1,-31,0,2190,347,,9,4,Lost
6571_P1,1097,0,-2428,-805,,-18,-10,Lost
6574_P1,1021,0,-773,-108,,-4,-2,Lost
6576_P1,411,0,-417,-417,,-9,-4,Lost
6582_P1,275,0,24,24,,1,1,Lost
6657_P1,138,0,-1179,-852,-38,-15,-1,Lost
6660_P1,15,0,-3305,-90,-6,1,5,Lost
6666_P1,33,0,572,534,-27,11,2,Lost
6683_P1,748,0,-621,-399,,-10,-5,Lost
6688_P1,623,0,-707,-461,,-9,-7,Lost
6694_P1,667,0,-859,-206,,-6,-6,Lost
6699_P1,1298,0,-290,-139,,-5,-2,Lost
6716_P1,56,0,-4164,-900,102,-25,-10,Lost
6855_P1,75,0,-3979,-1314,-19,-26,-10,Lost
6864_P1,68,0,-1211,-151,22,-5,-3,Lost
6878_P1,187,0,-215,-160,-1,-4,-1,Lost
6886_P1,94,0,-222,-99,,-2,-2,Lost
6918_P1,89,0,-3384,-1087,,-27,-12,Lost
6955_P1,36,0,-882,-516,,-9,-6,Lost
6978_P1,31,0,-3263,-326,71,-4,5,Lost
7032_P1,122,0,-720,-314,27,-8,-5,Lost
7038_P1,128,0,-961,-385,,-9,-4,Lost
7039_P1,416,0,-1874,-226,,-6,-4,Lost
7043_P1,268,0,-1855,-428,,-9,-5,Lost
7044_P1,10,0,232,-169,,-1,2,Lost
7045_P1,1350,0,-1188,-943,,-22,-9,Lost
7059_P1,167,0,-2936,-1339,-2,-30,-14,Lost
7076_P1,178,0,-3756,-121,,-2,-1,Lost
7083_P1,16,0,-136,41,,2,0,Lost
7089_P1,564,0,62,42,42,1,1,Lost
7092_P1,573,0,-4520,-1779,,-37,-15,Lost
7115_P1,319,0,-6619,-1721,39,-41,-10,Lost
7149_P1,331,0,232,28,,1,1,Lost
7179_P1,-82,0,-4262,38,-26,2,4,Lost
7197_P1,19,0,609,33,-42,1,-2,Lost
7199_P1,127,0,-1822,-430,0,-12,-7,Lost
7206_P1,479,0,-162,-42,18,-2,-1,Lost
7216_P1,342,0,-603,-237,,-6,-4,Lost
7218_P1,1520,0,-475,-231,,-7,-7,Lost
7256_P1,24,0,-1309,78,-5,2,1,Lost
7258_P1,779,0,-5478,-1215,13,-26,-10,Lost
7269_P1,191,0,-107,-51,16,-1,-2,Lost
7273_P1,442,0,-4455,-1556,,-35,-16,Lost
7274_P1,215,0,-1188,-649,,-16,-8,Lost
7279_P1,235,0,-5464,-1228,,-26,-10,Lost
7285_P1,100,0,-1598,-1089,,-26,-13,Lost
7297_P1,178,0,-1769,-388,,-8,-5,Lost
7305_P1,38,0,-3012,-1180,-50,-20,-8,Lost
7325_P1,35,0,-2406,-630,,-5,1,Lost
7426_P1,275,0,-1290,-478,59,-12,-6,Lost
7432_P1,124,0,-2395,-777,,-20,-10,Lost
7443_P1,172,0,-1676,-912,58,-19,-9,Lost
7449_P1,181,0,-5048,-1601,,-36,-14,Lost
7451_P1,-529,0,69,69,,2,2,Lost
7453_P1,-179,0,68,68,,2,1,Lost
7468_P1,50,0,104,74,,2,2,Lost
7514_P1,273,0,-1702,-1193,,-33,-10,Lost
7516_P1,21,0,185,-60,,-2,1,Lost
7526_P1,33,0,-409,-335,,-9,-4,Lost
7529_P1,-12,0,-58,-41,,-2,1,Lost
7540_P1,43,0,-5357,-1315,60,-32,-5,Lost
7573_P1,100,0,-5083,-915,-10,-26,-4,Lost
7586_P1,394,0,-4090,-870,,-19,-6,Lost
7587_P1,696,0,-5113,-1515,25,-31,-11,Lost
7597_P1,247,0,-4712,-688,,-15,-6,Lost
7601_P1,669,0,-3311,-1403,,-30,-12,Lost
7611_P1,110,0,-1089,-741,,-19,-8,Lost
7612_P1,98,0,-4698,-1266,,-32,-4,Lost
7617_P1,641,0,,,,,,Lost
7625_P1,-130,0,326,108,,5,3,Lost
7627_P1,631,0,-1062,-795,,-19,-8,Lost
7655_P1,83,0,-2769,-1446,-5,-28,-13,Lost
7667_P1,199,0,-4707,-1659,,-36,-16,Lost
7668_P1,132,0,-2557,-1199,,-28,-12,Lost
7676_P1,-7,0,-368,-671,,-20,-4,Lost
7677_P1,104,0,-404,52,,2,1,Lost
7678_P1,661,0,-3351,-1655,,-38,-14,Lost
7681_P1,53,0,-3713,-1292,,-22,-6,Lost
7703_P1,-25,0,1045,-322,-99,-6,-1,Lost
7760_P1,16,0,-2867,-629,39,-14,-7,Lost
7774_P1,-8,0,1767,9,,1,2,Lost
7776_P1,83,0,618,219,31,5,2,Lost
7796_P1,-57,0,-123,-370,-32,-7,-3,Lost
7799_P1,-34,0,-445,-233,,-5,-2,Lost
7821_P1,13,0,-591,-171,,-1,-1,Lost
7836_P1,10,0,294,13,,0,-2,Lost
7879_P1,11,0,-1035,-673,,-16,-6,Lost
7888_P1,-163,0,-56,-114,,-2,0,Lost
7893_P1,28,0,-2374,-705,31,-17,-10,Lost
7903_P1,212,0,-67,-142,55,-4,-2,Lost
7922_P1,123,0,-113,-62,,-2,-1,Lost
7932_P1,424,0,-348,-229,,-5,-3,Lost
7944_P1,142,0,-111,-46,,-1,-2,Lost
7951_P1,-226,0,,,,,,Lost
7952_P1,254,0,-58,,,,,Lost
8034_P1,365,0,-78,-78,46,-4,-3,Lost
8058_P1,-126,0,-127,-31,,-1,-1,Lost
8067_P1,419,0,-161,-34,,-1,-1,Lost
8109_P1,48,0,-3341,-669,68,-13,-1,Lost
8135_P1,11,0,4449,1409,36,31,14,Lost
8174_P1,55,0,-2087,-539,6,-6,-1,Lost
8195_P1,406,0,-1699,-920,21,-23,-10,Lost
8207_P1,170,0,-655,-384,,-7,-2,Lost
8273_P1,20,0,-1845,-73,5,-1,0,Lost
8302_P1,26,0,-915,-454,,-12,-5,Lost
8327_P1,488,0,,,,,,Lost
8329_P1,746,0,-2726,-1160,,-25,-14,Lost
8350_P1,110,0,-2025,-544,,-13,-7,Lost
8368_P1,162,0,-3468,-1578,27,-34,-9,Lost
8382_P1,1258,0,-2800,-1428,,-31,-11,Lost
8385_P1,420,0,-540,-362,,-9,-5,Lost
8390_P1,66,0,-322,-226,,-8,-4,Lost
8416_P1,364,0,-4309,-1584,103,-36,-14,Lost
8425_P1,10,0,-96,-207,,-1,2,Lost
8444_P1,18,0,-1652,-922,-21,-17,1,Lost
8459_P1,-171,0,459,310,16,8,2,Lost
8482_P1,145,0,41,-74,85,-5,-3,Lost
8500_P1,6,0,-322,-37,-6,0,0,Lost
8509_P1,1002,0,-114,-39,,-1,-1,Lost
8559_P1,13,0,83,1,,1,-3,Lost
8579_P1,-33,0,1888,614,-107,15,5,Lost
8608_P1,93,0,-1547,-722,-33,-16,-7,Lost
8612_P1,-175,0,-379,14,-108,2,2,Lost
8631_P1,158,0,-1324,-1152,,-27,-14,Lost
8637_P1,94,0,-1516,-459,,-10,-3,Lost
8640_P1,47,0,-164,-304,,-8,-6,Lost
8660_P1,100,0,-821,-499,,-16,-9,Lost
8661_P1,88,0,41,34,,-2,-1,Lost
8672_P1,216,0,-192,-90,,-2,-2,Lost
8674_P1,-17,0,-22,-22,,-1,-1,Lost
8710_P1,515,0,-373,-242,25,-7,-4,Lost
8718_P1,446,0,-191,-72,,-1,-1,Lost
8720_P1,-359,0,53,,,,,Lost
8722_P1,163,0,-161,-200,,-5,0,Lost
8762_P1,180,0,-781,-491,,-11,-6,Lost
8791_P1,123,0,-3948,-1801,,-39,-13,Lost
8796_P1,430,0,-276,-82,,-2,-2,Lost
8800_P1,92,0,-1352,-681,,-19,-12,Lost
8808_P1,82,0,-2065,-1002,,-26,-13,Lost
8818_P1,91,0,-663,-408,,-8,-4,Lost
8825_P1,151,0,-33,-33,,-1,-1,Lost
8832_P1,22,0,-2053,-1337,6,-28,-8,Lost
8843_P1,137,0,-3433,-1654,22,-33,-17,Lost
8850_P1,-4,0,-928,-485,-14,-15,-3,Lost
